Package,Package Duration,City,Hotel Rating,Activity,Package Price,Days,Nights,Discount %,Activity Count,Price per Day,Final Price,Package Type
Most Reasonable Goa Honeymoon Tour Packages,5 Days & 4 Nights,Goa,3.0,Hot  Pick Water  Activities Romantic  Cruise Adventure Candlelight dinner Cruises Nature Beach hopping Romantic Budget,9142.0,5.0,4.0,13.0,15,1828.4,7953.54,Budget
Fantastic Andaman Honeymoon Package,5 Days & 4 Nights,Port Blair Havelock,3.0,Corbyn's  Beach  Cove Adventure Radhanagar  Beach Nature Snorkeling Water  Activities Island  Tours Best sellers Sightseeing Historical Romantic Budget,18811.0,5.0,4.0,17.0,18,3762.2,15613.13,Budget
Romantic Mussoorie Tour Package From Delhi,3 Days & 2 Nights,Mussoorie,3.0,Sightseeing Nature Hill station Himalayas Romantic Hills Budget,12000.0,3.0,2.0,13.0,8,4000.0,10440.0,Budget
Coorg Package For 2 Nights And 3 Days,3 Days & 2 Nights,Coorg,3.0,Coorg sightseeing Adventure Rajaâs  Seat Nature Abbey  Falls Hill station Dubare  Reserve  Forest Waterfall Religious Budget,15934.0,3.0,2.0,9.0,16,5311.333333333333,14499.94,Budget
Best 4N 5D Andaman Sightseeing Tour Package For A Refreshing Getaway,5 Days & 4 Nights,Port Blair Havelock,3.0,Cellular  Jail Light &  Sound  Show Adventure Nature Ross  Island Hill station Water  Activities Sightseeing Budget,36484.0,5.0,4.0,9.0,16,7296.8,33200.44,Luxury
Mesmerising Manali Trip Package From Chandigarh,3 Days & 2 Nights,Manali,3.0,Hadimba  Temple Adventure Solang  Valley Nature Rohtang  Pass Hill station Religious Water  Activities Budget,10440.0,3.0,2.0,9.0,14,3480.0,9500.4,Budget
Hills & Houseboat: Munnar and Alleppey Honeymoon Package,6 Days & 5 Nights,Munnar Thekkady Alleppey Kochi,3.0,  Periyar  Wildlife  Sanctuary Cruises Eravikulam  National  Park Hill station Jungle  Safari Nature Backwaters Waterfall Wildlife Romantic Budget,24444.0,6.0,5.0,10.0,17,4074.0,21999.600000000002,Budget
Top Family Holiday Packages in Goa for an Ideal Family Vacation,5 Days & 4 Nights,Calangute,3.0,Family Dolphin spotting Cruises Kid's  Special Best sellers Sunset  Cruise Adventure Forts Water  Activities Romantic Budget,10868.0,5.0,4.0,8.0,16,2173.6,9998.560000000001,Budget
Most Affordable 1 Night 2 Days Uttarakhand Tour Packages From Delhi,2 Days & 1 Nights,Rishikesh,3.0,River  Rafting Hill station Adventure Nature Trekking Watersports Sightseeing Camping Budget,3360.0,2.0,1.0,17.0,11,1680.0,2788.7999999999997,Budget
Top 4 Nights 5 Days Best-Selling Sikkim Gangtok Darjeeling Tour Package,5 Days & 4 Nights,Gangtok Darjeeling,3.0,Best- Selling Himalaya Hill station Road  Trip Sightseeing Historical Nature Best sellers Budget,26258.0,5.0,4.0,16.0,13,5251.6,22056.719999999998,Budget
